Function,Dimension,Algorithm,Run,Best Score
Rastrigin,2,PSO,1,4.323454092514112e-07
Rastrigin,2,PSO,2,9.498495856519185e-08
Rastrigin,2,PSO,3,3.145563205464441e-07
Rastrigin,2,BEES,1,9.370884512804878e-07
Rastrigin,2,BEES,2,2.4596287317990573e-07
Rastrigin,2,BEES,3,7.77565084320031e-07
Rastrigin,2,FIREFLY,1,2.800704670774124
Rastrigin,2,FIREFLY,2,0.9950203059933251
Rastrigin,2,FIREFLY,3,1.9901038949722292
Rastrigin,5,PSO,1,1.9899181141865796
Rastrigin,5,PSO,2,0.9949590570932898
Rastrigin,5,PSO,3,1.9899181141865796
Rastrigin,5,BEES,1,0.9949590570932898
Rastrigin,5,BEES,2,0.9949590570932898
Rastrigin,5,BEES,3,2.9848771712798765
Rastrigin,5,FIREFLY,1,0.9949598143634972
Rastrigin,5,FIREFLY,2,8.9546233903895
Rastrigin,5,FIREFLY,3,5.969750084669087
Rastrigin,10,PSO,1,3.979836228373159
Rastrigin,10,PSO,2,7.959667418927268
Rastrigin,10,PSO,3,11.939503647300427
Rastrigin,10,BEES,1,12.934457666574644
Rastrigin,10,BEES,2,11.939503647300427
Rastrigin,10,BEES,3,13.929416723667941
Rastrigin,10,FIREFLY,1,62.64865900066208
Rastrigin,10,FIREFLY,2,61.413183432236906
Rastrigin,10,FIREFLY,3,64.09314844697872
Rastrigin,15,PSO,1,8.954626476020621
Rastrigin,15,PSO,2,11.939498609481433
Rastrigin,15,PSO,3,11.939498609481348
Rastrigin,15,BEES,1,35.818470593910504
Rastrigin,15,BEES,2,29.848721289169845
Rastrigin,15,BEES,3,25.868910295330224
Rastrigin,15,FIREFLY,1,117.37541865527614
Rastrigin,15,FIREFLY,2,116.63711499973178
Rastrigin,15,FIREFLY,3,121.26808375255057
